Date,Open,High,Low,Close,Adj Close,Volume,RSI,50_day_MA,200_day_MA,Government Securities - 5-Year Bond Yield (Per Cent Per Annum),Government Securities - 2-Year Bond Yield (Per Cent Per Annum),Government Securities - 10-Year Bond Yield (Per Cent Per Annum),Government Securities - 1-Year Treasury Bills Yield (Per Cent Per Annum),Government Securities - 15-Year Bond Yield (Per Cent Per Annum),Government Securities - 20-Year Bond Yield (Per Cent Per Annum),Singapore Overnight Rate Average (Per Cent Per Annum),Dividends,ROA,ROE,Cost/Income Ratio
2023-03-01,31.10000038146973,31.22727203369141,28.81818008422852,30.0,27.06473350524902,120673895,44.75691132507074,31.19145401000976,30.28413579940796,2.9,3.1,2.9,3.7,2.8,2.7,3.6,0.327273,1.23,17.2,42.8
2023-04-01,30.0,30.59090805053711,29.22727203369141,29.83636283874512,26.91710662841797,76692385,47.47219137914722,30.2672721862793,30.5246358203888,2.8,3.1,2.8,3.6,2.6,2.5,3.8,0.454545,1.41,18.6,38.1
2023-05-01,29.83636283874512,30.25454521179199,27.54545402526855,27.54545402526855,25.22823715209961,113449502,36.37259685953419,29.33999942779541,30.49586309432983,2.9,3.3,2.9,3.6,2.7,2.6,3.7,0.381818,1.41,18.6,38.1
2023-06-01,27.75454521179199,29.04545402526855,27.68181800842285,28.64545440673828,26.58517646789551,83117772,43.84890457875915,28.66163581848145,30.36095401763916,3.1,3.6,3.1,3.6,2.8,2.6,4.0,0.381818,1.41,18.6,38.1
2023-07-01,28.79999923706055,31.31818008422852,27.74545478820801,31.14545440673828,28.90536880493164,78306202,58.57438263948651,28.74363586425781,30.25172672271729,3.0,3.5,3.1,3.7,2.9,2.7,3.6,0.381818,1.44,19.2,38.3
2023-08-01,31.25454521179199,31.40909004211425,29.43636322021484,30.27272605895996,28.09540939331055,73215463,59.49632571235212,29.66127227783203,30.23213582992554,3.1,3.5,3.1,3.7,3.1,3.1,3.8,0.436364,1.44,19.2,38.3
2023-09-01,30.27272605895996,31.35454559326172,29.92727279663086,30.58181762695312,28.78593063354492,58286677,56.16127004929483,30.39963584899903,30.12390857696533,3.3,3.7,3.4,3.8,3.3,3.2,3.8,0.436364,1.44,19.2,38.3
2023-10-01,30.85454559326172,31.09090805053711,29.81818008422852,29.8636360168457,28.10992431640625,66167330,50.72380223689437,30.35745399475098,30.0394540309906,3.3,3.6,3.4,3.8,3.3,3.3,3.7,0.436364,1.39,18.2,39.3
2023-11-01,30.07272720336914,30.83636283874512,28.62727165222168,28.85454559326172,27.16009330749512,84500089,45.30983527599876,30.03618129730225,29.76499946594238,2.9,3.4,3.0,3.8,3.0,3.0,3.7,0.436364,1.39,18.2,39.3
2023-12-01,29.09090805053711,30.44545364379883,28.19090843200684,30.37272644042969,29.00890350341797,92942343,47.85907929959266,29.3981812286377,29.56163582801819,2.7,3.3,2.7,3.8,2.8,2.8,3.6,0.436364,1.39,18.2,39.3
2024-01-01,30.37272644042969,30.58181762695312,28.72727203369141,28.9818172454834,27.68045234680176,78470747,41.284882296848,29.1176358795166,29.49531765937805,2.8,3.0,2.9,3.5,2.9,2.9,3.5,0.436364,1.28,16.1,44.0
2024-02-01,29.09090805053711,31.14545440673828,28.76363563537598,30.29999923706055,28.93944358825684,105088484,48.46113713072988,29.63618129730225,29.56795402526856,3.0,3.3,3.1,3.5,3.1,3.1,3.8,0.436364,1.28,16.1,44.0
2024-03-01,30.45454406738281,33.29999923706055,30.28181838989257,32.75454330444336,31.28377151489257,98931458,50.5999994964599,30.40999942779541,29.89318130493164,3.1,3.4,3.1,3.5,3.1,3.1,3.7,0.436364,1.28,16.1,44.0
2024-04-01,32.72727203369141,34.97999954223633,32.14545440673828,34.90000152587891,33.33289337158203,102138097,60.17357843745214,32.09894493103027,30.40619038581848,3.4,3.5,3.5,3.6,3.5,3.4,3.5,0.490909,1.56,19.4,37.4
2024-05-01,35.86000061035156,36.0,34.9900016784668,35.9900016784668,34.89272689819336,83186465,65.86258500322657,34.15719959259033,30.95966313362122,3.3,3.4,3.4,3.6,3.3,3.3,3.5,0.54,1.56,19.4,37.4
2024-06-01,36.08000183105469,36.16999816894531,35.34999847412109,35.79000091552734,35.23159027099609,68674779,65.73598111170676,35.3287272644043,31.48631777763367,3.2,3.3,3.2,3.6,3.2,3.1,3.4,0.54,1.56,19.4,37.4
2024-07-01,35.90000152587891,38.54999923706055,35.79000091552734,36.59000015258789,36.01910781860352,113151685,75.95075103144717,36.34140022277832,32.23872694969177,2.8,2.9,2.9,3.4,2.9,2.9,3.4,0.54,1.44,18.2,39.6
